150	1.0
200	1.0
250	1.0
300	1.0
350	1.0
400	1.0
450	1.0
500	1.0
550	1.0
600	1.0
650	1.0
700	1.0
750	1.027027027027027
800	1.1515151515151516
850	1.3
900	1.2666666666666666
950	1.3571428571428572
1000	1.4074074074074074
1050	1.4074074074074074
1100	1.4615384615384615
1150	1.52
1200	1.56
1250	1.52
1300	1.5833333333333333
1350	1.5833333333333333
1400	1.5833333333333333
1450	1.5833333333333333
1500	1.5833333333333333
1550	1.5833333333333333
1560	1.5833333333333333
1600	1.625
1650	1.5
1700	1.6363636363636365
1750	1.7619047619047619
1800	1.8
1850	1.8
1900	1.8
1950	1.8
1990	1.85
2000	1.9473684210526316
2050	1.894736842105263
2100	1.9473684210526316
2150	1.9473684210526316
2190	1.9473684210526316
2200	1.894736842105263
2250	1.894736842105263
2300	1.9473684210526316
2350	1.894736842105263
2400	1.894736842105263
2430	1.894736842105263
2450	1.9473684210526316
